2/3/1921,0:00,Mendotta,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
2/9/1921,0:00,La Crosse,United States,US Aerial Mail Service,unknown,Junkers F-13,Junkers,3,3,unknown,Cargo/Service
2/15/1921,0:00,Off Gibraltar,Off Gibraltar,Aeropostale,unknown,Breguet 14,Breguet,2,2,unknown,Passenger
2/22/1921,0:00,Elko,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
4/6/1921,0:00,Point Cook,Australia,Military - Royal Australian Air Force,unknown,unknown,unknown,2,1,unknown,Military
4/21/1921,0:00,Mitchel Field,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
4/29/1921,0:00,Cleveland,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
5/17/1921,0:00,Rock Springs,United States,US Aerial Mail Service,unknown,unknown,unknown,1,1,unknown,Cargo/Service
7/16/1921,0:00,San Francisco,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
8/14/1921,0:00,Toulouse,France,Aeropostale,unknown,Breguet 14,Breguet,2,2,unknown,Passenger
8/24/1921,17:40,River Humber,England,Military - Royal Airship Works,unknown,Royal Airship Works ZR-2 (airship),Royal Airship Works,46,46,crashed due to structural failure followed by two explosions and a fire. attributed to faulty design.,Military
9/6/1921,0:00,Paris,France,Franco-Roumaine,Varsovie - Strasbourg - Paris,Potez IX,Potez IX,5,5,crashed while making an approach to le bourget airport in paris.,Passenger
12/5/1921,0:00,Murchinson River,Australia,West Australian Airways,unknown,Bristol 28 Tourer,Bristol  Tourer,3,3,unknown,Passenger
1/14/1922,0:00,Paris,France,Handley Page Transport,unknown,Handley Page O/10,Handley Page,5,5,crashed at le bourget field.,Passenger
2/21/1922,0:00,Norfolk,United States,Military - U.S. Army Air Service,unknown,Dirigible Roma (airship),Dirigible Roma,45,34,crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,Military
4/7/1922,0:00,Grandvilliers,France,Daimler Airways / Grands Express Aeriens,unknown,de Havilland DH-18 / Farman F-60 Goliath,de Havilland,7,7,"a midair collision occurred in poor visibility approximately 18 miles north of beauvais, france. this was the  first commercial midair collision in aviation history. two killed on the de havilland, five on the faman f-60.",Passenger
4/8/1922,0:00,Pao Ting Fou,China,,unknown,unknown,unknown,17,17,all seventeen aboard were chinese nationals.,Passenger
4/13/1922,0:00,Brooklands,England,Vickers,unknown,Vickers Viking,Vickers Viking,3,3,unknown,Passenger
10/1/1925,0:00,Nittany Mt,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
6/3/1922,0:00,Off Folkestone,England,Cie des Messageries Aeriennes,unknown,Bleriot Spad 27,Bleriot Spad,3,3,unknown,Passenger
7/26/1922,0:00,Cadix,Spain,Grands Express Aeriens,unknown,Breguet 14,Breguet,3,3,unknown,Passenger
9/7/1922,0:00,Indiaapolis,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
10/2/1922,0:00,Venice,Italy,,unknown,de Havilland DH-9,de Havilland,4,4,unknown,Passenger
10/25/1922,0:00,Larache,Morocco,Grands Express Aeriens,unknown,Breguet 14,Breguet,2,2,unknown,Passenger
12/3/1922,0:00,Fez,Morocco,Grands Express Aeriens,unknown,Breguet 14,Breguet,1,1,unknown,Passenger
1/10/1923,0:00,Ajaccio,France,Amee de l'Air,unknown,Lioré-et-Olivier H-13,Lioré-et-Olivier,4,3,unknown,Passenger
1/17/1923,0:00,Barcelona,Spain,Grands Express Aeriens,unknown,Breguet 14,Breguet,1,1,unknown,Passenger
1/18/1923,0:00,Cheyenne,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
2/26/1923,0:00,Meadville,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
5/14/1923,0:00,Monsures,France,Grands Express Aeriens,unknown,Farman F-60 Goliath,Farman  Goliath,6,6,unknown,Passenger
8/27/1923,0:00,Bucharest,Romania,Campagnie France Roumaine,unknown,Blériot Spad 46,Blériot Spad,2,2,unknown,Passenger
9/7/1923,0:00,Colton,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
9/14/1923,0:00,Berks,England,Daimler Airways,unknown,de Havilland DH-34,de Havilland,6,6,unknown,Passenger
11/18/1923,0:00,Russia,Russia,CCCP,unknown,Junkers F-13,Junkers,4,2,unknown,Passenger
12/6/1923,0:00,Castalia,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
12/23/1923,2:30,Over the Mediterranean Sea,France,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),Zeppelin Dixmunde,52,52,"crashed while on a flight from toulon, france to algiers, algeria.  the last known radio contact reported the ship nearly out of fuel and battling strong winds.  struck by lightning.",Military
12/24/1923,0:00,Egbert,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
3/7/1924,0:00,Grampian,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
4/24/1924,0:00,Over the English Channel,England,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,Fokker F.III,3,3,unknown,Passenger
6/8/1924,0:00,Barranquilla,Colombia,SCADTA,unknown,Junkers F-13,Junkers,3,3,unknown,Passenger
8/1/1924,0:00,United States,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
11/6/1924,0:00,Cabrerolles,France,Grands Express Aeriens,unknown,unknown,unknown,1,1,unknown,Passenger
12/21/1924,0:00,Goshen,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
12/24/1924,0:00,Purley,England,Imperial Airways,unknown,de Havilland DH-34B,de Havilland,8,8,"shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. fuel starvation. captain stewart and seven passengers were killed in an attempted forced landing.",Passenger
3/22/1925,0:00,Tiflies,Russia,Zakavia,unknown,Junkers F-13,Junkers,5,5,unknown,Passenger
4/25/1925,0:00,Alicante,Spain,Grands Express Aeriens,unknown,Breguet 14,Breguet,4,4,unknown,Passenger
5/25/1925,0:00,Alicante,Spain,Lignes Aeriennes Latecoere,unknown,Breguet 14,Breguet,2,2,unknown,Passenger
6/25/1925,0:00,Landrécies,France,KLM Royal Dutch Airlines,unknown,Fokker (KLM)  F.III,Fokker,4,4,crashed in poor weather.,Passenger
6/26/1925,0:00,Alicante,Spain,Grands Express Aeriens,unknown,Lioré-et-Olivier H-13,Lioré-et-Olivier,2,2,unknown,Passenger
7/20/1925,0:00,Rosas,Spain,Lignes Aeriennes Latecoere,unknown,Breguet 14,Breguet,1,1,unknown,Passenger
7/24/1925,0:00,Budapest,Hungary,CIDNA,unknown,Potez IX,Potez IX,1,1,unknown,Passenger
9/3/1925,5:30,Caldwell,United States,Military - U.S. Navy,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),Dirigible  Shenandoah,43,14,"the shenandoah was flying over southern ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). powerful air currents buffeted her so severely that her crew was unable to maintain control. rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. the stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",Military
9/7/1925,0:00,Toul,France,CIDNA,unknown,unknown,unknown,3,3,unknown,Passenger
11/14/1925,0:00,Off Boulogne-sur-Mer,France,Air Union,unknown,Farman F-60 Goliath,Farman  Goliath,2,2,unknown,Passenger
2/12/1926,0:00,Montpelier,United States,US Aerial Mail Service,unknown,Curtiss Carrier Pigeon,Curtiss Carrier Pigeon,1,1,unknown,Cargo/Service
3/8/1926,0:00,Staaken,Germany,Deutche Lufthansa,unknown,Junkers F-13,Junkers,1,1,unknown,Passenger
5/31/1926,0:00,English Channel,English Channel,Air Union,unknown,Breguet 14,Breguet,1,1,unknown,Passenger
7/3/1926,0:00,Rossaugpt,Czech Republic,Compagnie Internationale de Navigation Aérienne,Paris - Prague,Caudron C-61,Caudron,7,7,crashed while en route.,Passenger
7/9/1926,0:00,Wolvertem,Belgium,KLM Royal Dutch Airlines,unknown,Fokker F-4,Fokker,2,2,unknown,Passenger
7/24/1926,0:00,Juist,Germany,Deutsche Lufthansa,unknown,Junkers F-13,Junkers,4,4,weather related.,Passenger
8/18/1926,0:00,Hurst,England,Air Union,unknown,Bleriot 155,Bleriot,4,4,crashed in adverse weather conditions.  engine failure.,Passenger
9/26/1926,0:00,New York,United States,,New York - Paris,Sikorsky S-25,Sikorsky,5,2,too much weight caused the landing gear to collapse as the plane took off for paris on the first trans-atlantipassenger flight.,Passenger
10/8/1926,0:00,Bueren,Germany,Deutsche Lufthansa,unknown,Fokker FG III,Fokker FG III,4,4,weather related.,Passenger
10/21/1926,13:15,English Channel,English Channel,Imperial Airways,unknown,Handley Page W-10,Handley Page,12,0,"the plane was on a flight from london to paris when power was lost to the starboard engine. the aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the english coast. the plane stayed afloat long enough for the fishing boat invicta, piloted by captain marshall, to rescue all aboard. the plane was named prince henry.",Passenger
11/11/1926,0:00,Cape Bojador,Morocco,Grands Express Aeriens,unknown,Breguet 14,Breguet,3,3,unknown,Passenger
12/16/1926,0:00,Medford,United States,PacifiAir Transport,unknown,Ryan M-1,Ryan,1,1,unknown,Passenger
1/12/1927,0:00,Lille,France,KLM Royal Dutch Airlines,unknown,Fokker F-VII,Fokker F-VII,2,2,unknown,Passenger
3/20/1927,0:00,Rabat,Morocco,Grands Express Aeriens,unknown,Breguet 14,Breguet,1,1,unknown,Passenger
3/24/1927,0:00,Tambo,Australia,Qantas,unknown,de Havilland DH-9C,de Havilland,3,3,stalled at low altitiude on approach to land,Passenger
4/15/1927,0:00,King Hill,United States,Varney Air Lines,unknown,unknown,unknown,1,1,crashed after an unsuccessful attempt at fly into strong headwinds. the engine quit and the plane nosedived into the ground.,Passenger
4/22/1927,0:00,Goshen,United States,US Aerial Mail Service,unknown,Douglas M-4,Douglas,1,1,unknown,Cargo/Service
4/22/1927,0:00,Floh,Germany,Deutsche Lufthansa,unknown,Fokker FG III,Fokker FG III,2,2,engine failure.,Passenger
5/2/1927,0:00,Algiers,Algeria,Air Union,unknown,SPCA Meteore 63,SPCA Meteore,3,1,unknown,Passenger
7/27/1927,0:00,Amoneburg,Germany,Deutsche Lufthansa,unknown,Junkers F-13,Junkers,5,5,engine failure.,Passenger
8/22/1927,8:30,Sevenoaks,England,KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,Fokker F-VIII,11,1,"a broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",Passenger
9/3/1927,0:00,Willington,United States,Colonial Air Transport,unknown,Fokker Universal,Fokker Universal,1,1,unknown,Passenger
9/17/1927,0:00,Hadley,United States,Reynolds Airways,Sightseeing,Fokker F-VII,Fokker F-VII,12,7,the sightseeing plane took off and rose to 400 ft. when the engine failed.  the plane stalled and plunged to the ground in an apple orchard. engine failure. the pilot was not familiar with the type of aircraft.,Passenger
9/22/1927,0:00,Saale,Germany,Deutsche Lufthansa,unknown,BFW M-18,BFW,4,2,engine failure.,Passenger
9/23/1927,10:00,Schleiz,Germany,Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,Dornier Merkur,6,6,broken wing strut.,Passenger
10/6/1927,0:00,Thies,Mauritania,Lignes Aeriennes Latecoere,unknown,Breguet 14,Breguet,2,2,unknown,Passenger
10/30/1927,0:00,New Brunswick,United States,Colonial Air Transport,unknown,Fairchild FC-2,Fairchild,4,4,went into a tailspin and crashed into a corn field,Passenger
11/16/1927,0:00,Strasburg,France,CIDNA,unknown,Farman F-121 Jabiru,Farman  Jabiru,1,1,unknown,Passenger
11/16/1927,0:00,Over the Gulf of Finland,Finland,Aero O-Y,unknown,Junkers F-13,Junkers,6,6,unknown,Passenger
11/29/1927,0:00,Corunna,United States,National Air Transport,unknown,Douglas M-4,Douglas,1,1,unknown,Passenger
12/26/1927,0:00,Almeria,Spain,Aeropostale,unknown,Breguet 14,Breguet,2,2,unknown,Passenger
12/28/1927,0:00,Abuerio,Spain,Aeropostale,unknown,Breguet 14,Breguet,1,1,unknown,Passenger
12/31/1927,0:00,France,France,Latecoere Airlines,unknown,Latécoère 23,Latécoère,4,4,unknown,Passenger
1/8/1928,0:00,Canajoharie,United States,Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,Fairchild,3,3,became lost in dense fog and flew into the ground in the mohawk valley while proceeding to buffalo..,Passenger
1/16/1928,0:00,Solis,Uruguay,Aeropostale,unknown,Latecoere 25,Latecoere,2,2,unknown,Passenger
1/22/1928,0:00,Tarragona,Spain,Aeropostale,unknown,Breguet 14,Breguet,2,2,unknown,Passenger
1/22/1928,0:00,France,France,Aeropostale,unknown,Breguet 14,Breguet,2,1,unknown,Passenger
1/27/1928,0:00,Almeria,Spain,Aeropostale,unknown,Breguet 14,Breguet,1,1,unknown,Passenger
2/26/1928,0:00,Marquette,United States,Boeing Air Transport,unknown,Boeing 40,Boeing,2,1,the air mail plane crashed into a grove of cottonwood trees and burned. businessman f.h. craig was killed and pilot frank yegar injured. the pilot descended in altitude due to air pockets.the plane then ran into an air pocket that brought the plane down into the grove of trees.,Cargo/Service
3/3/1928,0:00,Rio de Janeiro,Brazil,,unknown,unknown,unknown,10,10,unknown,Passenger
3/11/1928,0:00,Off Cape Griz Nez,France,Air Union,unknown,Farman F-60 Goliath,Farman  Goliath,2,2,unknown,Passenger
4/17/1928,0:00,Federal,United States,Boeing Air Transport,unknown,Boeing 40,Boeing,2,1,unknown,Passenger
4/19/1928,0:00,Minuesa,Spain,Iberia Airlines,unknown,Rohrbach Roland,Rohrbach Roland,9,9,crashed in fog.,Passenger
5/7/1928,0:00,unknown,unknown,Aeropostale,unknown,Latecoere 26,Latecoere,1,1,unknown,Passenger
5/12/1928,0:00,Dearborn,United States,Ford Air Freight Inc.,unknown,Ford 4,Ford,2,2,unknown,Passenger
5/26/1928,0:00,Radevormwald,Germany,Deutsche Lufthansa,unknown,Junkers F-13,Junkers,5,3,pilot error.,Passenger
6/14/1928,0:00,Frankfurt,Germany,Deutsche Lufthansa,unknown,AEGK,AEGK,5,5,unknown,Passenger
6/22/1928,0:00,Lebo,United States,National Air Transport,Chicago - Dallas,Douglas M-4,Douglas,1,1,the mail plane flew into tornado like winds and crashed to the ground.,Cargo/Service
7/10/1928,0:00,Over the Gulf of Finland,Finland,Aero O-Y,unknown,Junkers F-13,Junkers,6,6,unknown,Passenger
7/13/1928,0:00,Purley,England,Imperial Airways,Testing,Vickers 74 Vulcan,Vickers  Vulcan,4,4,crashed to the ground shortly after taking off killing two men and two women.,Passenger
7/24/1928,0:00,Waalhaven harbor,Netherlands,KLM Royal Dutch Airlines,unknown,Fokker (KLM) F.III,Fokker,1,1,the plane crashed into the waalhaven harbor.,Passenger
8/25/1928,0:00,Port Townsend,Canada,British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,Ford  Tri Motor,7,7,crashed into puget sound in dense fog.  considered the first canadian air disaster.,Passenger
9/2/1928,0:00,Toul,France,CIDNA,unknown,Bleriot Spad 56,Bleriot Spad,3,3,unknown,Passenger
9/4/1928,0:00,Adelaide Hills,Australia,Qantas,unknown,de Havilland DH.50J,de Havilland,2,1,"following the conclusion of an aerial tour carrying sir john salmond, the aircraft departed adelaide piloted by c. w. a. scott with an engineer as passenger. control was lost in the cloud during an attempt to cross the adelaide hills; the aircraft crashed and caught fire.",Passenger
9/4/1928,0:00,Pocatello,United States,National Parks Airways,unknown,Fokker Super Universal,Fokker Super Universal,7,7,unknown,Passenger
9/6/1928,0:00,Heroldbach,Germany,Deutsche Lufthansa,unknown,Fokker FG III,Fokker FG III,3,3,engine failure.,Passenger
10/4/1928,0:00,Gerona,Spain,Aeropostale,unknown,Breguet 14,Breguet,3,3,unknown,Passenger
10/18/1928,0:00,Polk,United States,National Air Transport,unknown,Douglas M-4,Douglas,1,1,the mail plane crashed and burned during the night.,Cargo/Service
10/31/1928,0:00,Valence,France,Air Union,unknown,Bleriot Spad 56,Bleriot Spad,2,1,unknown,Passenger
11/15/1928,0:00,Off Gibraltar,Off Gibraltar,Aeropostale,unknown,Latecoere 32,Latecoere,2,1,unknown,Passenger
11/24/1928,0:00,Edgerton,United States,Universal Airlines,Cleveland - Chicago,Hamilton H-47,Hamilton,3,3,the mail plane crashed in a heavy snow storm.,Cargo/Service
11/25/1928,0:00,Bristolville,United States,National Air Transport,unknown,Douglas M-4,Douglas,1,1,the mail plane crashed in a snow storm.,Cargo/Service
11/25/1928,0:00,Edgerton,United States,Continental Air Lines,Cleveland - Louisville,Travel Air 4000,Travel Air,3,3,the mail plane crashed in a heavy snow storm,Cargo/Service
12/1/1928,10:00,Spur,United States,Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,Ford  Tri Motor,5,5,the aircraft crashed and burned while en route. flames were seen aboard the plane before it crashed.,Passenger
12/3/1928,8:00,Brazil,Brazil,Syndicato Condor,unknown,Dornier Wal,Dornier Wal,14,14,"the seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. the pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. it sunk immediately.",Passenger
12/4/1928,0:00,Rio de Janeiro,Brazil,,unknown,Junkers G24,Junkers,6,6,the aircraft's wingtip struck the water and crashed into rio de janeiro bay.,Passenger
12/11/1928,0:00,Letzlingen,Germany,Deutsche Lufthansa,unknown,Junkers G-31,Junkers,4,3,weather related.,Passenger
12/20/1928,0:00,Huron,United States,National Air Transport,Cleveland - Chicago,Douglas M-4,Douglas,1,1,the mail plane crashed into an apple tree during a snow storm.,Cargo/Service
12/23/1928,0:00,Chattanooga,United States,Interstate Airlines,unknown,Fairchild FC-2,Fairchild,4,4,crashed onto a roof and garage on takeoff and burst into flames. the motor may have not been warmed- up enough.,Passenger
12/31/1928,0:00,Reims,France,CIDNA,unknown,Blériot Spad 66,Blériot Spad,3,2,crashed into high ground in fog.,Passenger
1/5/1929,0:00,Stafford Springs,United States,Colonial Air Transport,unknown,Fairchild FC-2,Fairchild,1,1,unknown,Passenger
1/18/1929,0:00,Cove,United States,Varney Air Lines,unknown,Stearman C-38,Stearman,1,1,while attempting to make an emergency landing on the minam river the plane hit a bolder,Passenger
1/25/1929,0:00,Corfu,Greece,Aeroespresso,unknown,CMASA Wal,CMASA Wal,9,2,unknown,Passenger
1/31/1929,0:00,Morgantown,United States,Skyline Transportation Company,unknown,Travel Air 4000,Travel Air,1,1,unknown,Passenger
1/31/1929,0:00,Off Morocco,Morocco,Aeropostale,unknown,Latecoere 26,Latecoere,2,2,unknown,Passenger
3/17/1929,0:00,Newark,United States,Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,Ford  Tri Motor,15,14,the plane was making the last of a number of sightseeing flights when one of it's three engines failed. the plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. engine failure.,Passenger
3/30/1929,9:18,Beaumont,United States,New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,Fokker F-VIIA,4,4,"the aircraft crashed into a high mountain ridge, exploding on impact. investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",Passenger
4/21/1929,0:00,San Diego,United States,Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,Ford  Tri-Motor,6,6,"a midair collision occurred  with a us air force boeing pw-9d at 2,000 ft.  five killed on the tri-motor, one on the boeing. army pilot lieutenant howard keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. instead, he misjudged the speed of the maddux aircraft and his diving plane struck the cockpit of the ford tri-motor.  he was found criminally negligent.",Military
5/18/1929,0:00,Hungary,Hungary,MALERT,unknown,Fokker F-III,Fokker F-III,2,2,unknown,Passenger
